Community name,Based on Projects,# lists,Total unique members on all lists,Average users per list,Min users,Max users
multimedia,multimedia,184,2802,70.2065217391304,1,500
director,director,296,3815,124.804054054054,1,499
accounting,accounting,1100,3680,210.715454545455,1,501
golf,golf,17144,6817,66.1201003266449,1,497
housing,housing,793,1970,115.575031525851,1,478
musician_singer,"musician,singer",20941,38673,90.5928083663626,1,501
realestate,realestate,1847,11333,228.174336762317,1,500
reporter,reporter,184,7501,90.4130434782609,1,483
neuroscience,neuroscience,396,2258,190.99494949495,1,479
rapper,rapper,232,4565,137.702586206897,1,499
beer,beer,107,4932,180.588785046729,3,493
beauty_fashion_shopping,"List 243819, fashion"
beauty_fashion_shopping,"List 245260, fashion"
beauty_fashion_shopping,"List 246009, fashion"
beauty_fashion_shopping,"List 246485, fashion"
beauty_fashion_shopping,"List 247263, fashion"
beauty_fashion_shopping,"List 247779, fashion"
beauty_fashion_shopping,"List 247848, fashion"
beauty_fashion_shopping,"List 248511, fashion"
beauty_fashion_shopping,"List 249523, fashion"
beauty_fashion_shopping,"List 249585, fashion"
beauty_fashion_shopping,"List 250074, fashion"
beauty_fashion_shopping,"List 250270, fashion"
beauty_fashion_shopping,"List 250517, fashion"
beauty_fashion_shopping,"List 250686, fashion"
beauty_fashion_shopping,"List 251861, fashion"
beauty_fashion_shopping,"List 251902, fashion"
beauty_fashion_shopping,"List 252331, fashion"
beauty_fashion_shopping,"List 252544, fashion"
beauty_fashion_shopping,"List 253340, fashion"
beauty_fashion_shopping,"List 253679, fashion"
beauty_fashion_shopping,"List 254145, fashion"
beauty_fashion_shopping,"List 254428, fashion"
beauty_fashion_shopping,"List 255907, fashion"
beauty_fashion_shopping,"List 256233, fashion"
beauty_fashion_shopping,"List 257734, fashion"
beauty_fashion_shopping,"List 258117, fashion"
beauty_fashion_shopping,"List 258300, fashion"
beauty_fashion_shopping,"List 258757, fashion"
beauty_fashion_shopping,"List 259323, fashion"
beauty_fashion_shopping,"List 260117, fashion"
beauty_fashion_shopping,"List 261866, fashion"
beauty_fashion_shopping,"beauty,fashion,shopping",25779,91348,127.499533944384,1,565
comics,comics,5843,15030,84.9104911860346,0,500
radio,radio,4915,32164,78.7416073245168,1,501
running,running,2090,11091,72.2038277511962,1,499
yoga,yoga,2782,10320,111.520488856937,1,498
cinema,cinema,742,11872,73.0700808625337,1,500
screenwriter,screenwriter,815,2342,84.158282208589,1,415
recipes_cooking,"recipes,cooking",3206,11231,238.17217716781,1,493
poetry,poetry,846,7552,104.358156028369,1,500
teaching,teaching,915,4521,100.454644808743,1,491
army_military_veteran,"army,military,veteran",2947,9451,105.774346793349,1,499
children,children,493,5024,105.434077079108,1,492
restaurant_dining,"restaurant,dining",1459,24293,146.62577107608,1,501
mobile_smartphone,"mobile,smartphone",2524,21393,92.7987321711569,1,503
guitar,guitar,822,5839,80.9136253041362,1,497
baking,baking,683,2302,135.190336749634,1,450
