Name,FF_Nodes,FF_betweeness,FF_closeness,FF_degree,FF_eigenvector,FF_c_size,FF_c_density,FF_c_hierarchy,FF_c_index
"""rapper""",60,0.000576497504812,0.652582159624,1.1726618705,0.0122527082346,0.187503951123,0.0544620539656,0.0169077660494,0.258873771138
"""gardening""",85,0.00220153874136,0.842424242424,1.6690647482,0.0940206380639,0.126504998386,0.0697736787068,0.0218256328452,0.218104309938
"""romance""",101,0.000440407887729,0.780898876404,1.13669064748,0.0405420940496,0.25869091963,0.0456934184188,0.0248788608021,0.329263198851
"""sport""",45,0.00101490121682,0.674757281553,1.48201438849,0.0115511059575,0.0483208034479,0.0374819787467,0.0170093290527,0.102812111247
"""philanthropy""",87,0.0030830686138,0.874213836478,1.75539568345,0.119141432483,0.0629180758279,0.0713845524051,0.025578817245,0.159881445478
"""mobile""",93,0.00377412442624,0.952054794521,1.82014388489,0.068038696654,0.130757974201,0.0782732853258,0.0211366545514,0.230167914078
"""energy""",60,0.00201319417101,0.842424242424,1.65467625899,0.0885614412527,0.193999468954,0.0678905435903,0.0270767014867,0.288966714031
"""pregnancy""",134,0.0018110019303,0.832335329341,1.5035971223,0.0622068058946,0.0548243514989,0.0587196809054,0.0218681042089,0.135412136613
"""dating""",133,0.00324062112343,0.902597402597,1.8345323741,0.0936350700725,0.063426209859,0.0424140876427,0.0180384901435,0.123878787645
"""sustainability""",318,0.00530317798392,0.992857142857,1.97841726619,0.394536579118,0.0396599090105,0.0512082405866,0.0206252964014,0.111493445998
"""anime""",98,0.00100008211219,0.785310734463,1.27338129496,0.0318761501088,0.0647216034257,0.0608695038361,0.0203143157799,0.145905423042
"""news""",459,0.00560165751634,0.978873239437,1.97841726619,0.269176244083,0.0219683550642,0.0361457007706,0.0177232070654,0.0758372629003
"""wedding""",100,0.00135965319926,0.812865497076,1.44604316547,0.047882531463,0.0577837841751,0.056976193818,0.0213585223857,0.136118500379
"""skiing""",112,0.00168894437382,0.803468208092,1.4964028777,0.0539147620059,0.0563912110482,0.0499416123671,0.0197018018398,0.126034625255
"""weather""",83,0.00195040422558,0.808139534884,1.55395683453,0.0454708772678,0.115197048326,0.06560964438,0.0191295234947,0.199936216201
"""archaeology""",108,0.00148816879401,0.817647058824,1.41007194245,0.0442901354545,0.131426670781,0.0494144573294,0.022983709962,0.203824838072
"""cycling""",103,0.00230631468066,0.747311827957,1.64748201439,0.0147624842438,0.0265964281346,0.0350950189372,0.0183211469306,0.0800125940024
"""islam""",102,0.000332878598823,0.720207253886,1.0071942446,0.0210967159225,0.151318873816,0.0603378830465,0.0236232203757,0.235279977238
"""php""",101,0.00105465519311,0.727748691099,1.19424460432,0.0172036398338,0.149063455972,0.112083355723,0.027171112741,0.288317924436
"""perl""",101,0.00075635526861,0.739361702128,1.1726618705,0.0220172783336,0.136976003547,0.107700089661,0.0274626915745,0.272138784782
"""activism""",8,0.000687335519675,0.658767772512,1.11510791367,0.0178646580298,0.11096703498,0.0878592125049,0.027395973806,0.226222221291
"""climbing""",72,0.000422028039179,0.727748691099,1.06474820144,0.0269637734824,0.309172766279,0.0616694242916,0.0244938137818,0.395336004352
"""comics""",105,0.0012955119375,0.665071770335,1.44604316547,0.0201101820339,0.0487484935236,0.0487309459428,0.0197192666444,0.117198706111
"""radio""",84,0.00243837318522,0.798850574713,1.73381294964,0.0272132167444,0.0430375690528,0.0474069248878,0.0191377436881,0.109582237629
"""insurance""",127,0.00265923525388,0.879746835443,1.69064748201,0.09603579779,0.058018647067,0.0620759652099,0.0212168077123,0.141311419989
"""theater""",31,0.000374904669697,0.684729064039,0.978417266187,0.0155808584397,0.377663467301,0.0469356560609,0.0285020750236,0.453101198385
"""racing""",141,0.00129006012389,0.743315508021,1.35251798561,0.0165741821557,0.0714595175135,0.0453978648614,0.019749528665,0.13660691104
"""investor""",53,0.00187482333046,0.822485207101,1.63309352518,0.0456047160542,0.164468071949,0.0675471773265,0.0184425911232,0.250457840399
"""anthropology""",94,0.00172377680219,0.908496732026,1.52517985612,0.067643414525,0.0670484066596,0.059098485206,0.0260495775776,0.152196469443
"""aviation""",12,9.16555705763e-05,0.634703196347,0.690647482014,0.010864121428,0.475353456195,0.0331203043858,0.0254218038234,0.533895564405
"""linux""",104,0.000924279927729,0.75956284153,1.29496402878,0.0240263559028,0.164026437387,0.116997513973,0.0290290855772,0.310053036937
"""trading""",91,0.0018948688222,0.75956284153,1.61870503597,0.0513209022528,0.0722411128284,0.0621987046444,0.0195532502138,0.153993067687
"""fantasy""",14,0.000219530243956,0.604347826087,0.812949640288,0.00468090003545,0.214237546773,0.104085875224,0.028366120913,0.34668954291
"""poverty""",55,0.000901509776283,0.731578947368,1.15827338129,0.062157811056,0.113064578483,0.0888059601103,0.0263156374046,0.228186175998
"""photography""",217,0.00463683711982,0.945578231293,1.94244604317,0.125871010907,0.0275206595363,0.0453643312165,0.0226338757996,0.0955188665523
"""astronomy""",123,0.00294842044248,0.812865497076,1.74820143885,0.0446979346815,0.046695539169,0.0544810549822,0.0243427307272,0.125519324878
"""university""",57,0.000986892381698,0.705583756345,1.19424460432,0.0166736506413,0.0738733394723,0.0719571304394,0.0266348515629,0.172465321475
"""toys""",107,0.000781539549652,0.739361702128,1.31654676259,0.0213195868338,0.0443787030503,0.0466941680217,0.0207574942071,0.111830365279
"""sailing""",102,0.00175577081768,0.863354037267,1.56115107914,0.0419012763728,0.0382752937903,0.0515046749412,0.020787650487,0.110567619219
"""handmade""",59,0.000996825839703,0.789772727273,1.45323741007,0.0460781074895,0.225200307942,0.0378542151097,0.0200241727111,0.283078695762
"""airlines""",186,0.00439244527602,0.926666666667,1.91366906475,0.0724453992908,0.0432036639518,0.0453742847173,0.0205733042829,0.109151252952
"""ruby""",107,0.00127309485691,0.739361702128,1.3309352518,0.0230595686003,0.106375671703,0.116170312752,0.0400441471397,0.262590131595
"""ceo""",48,0.00375981084168,0.891025641026,1.8345323741,0.0509883126433,0.0394220709617,0.0543792956257,0.0234892390018,0.117290605589
"""recipes""",4,9.77789483161e-05,0.615044247788,0.604316546763,0.0105873246438,0.220856085899,0.0678199346144,0.0217666383483,0.310442658861
"""poker""",100,0.000487861456889,0.628959276018,1.1726618705,0.0126873736307,0.0799057528521,0.0495991243466,0.0130745811183,0.142579458317
"""hospitality""",85,0.0027986793968,0.852760736196,1.75539568345,0.0817433356448,0.0643882889405,0.0537505954387,0.0199598706556,0.138098755035
"""legal""",8,8.96976666549e-05,0.634703196347,0.676258992806,0.0127485779115,0.370746772031,0.0450573690969,0.0320380942206,0.447842235348
"""wine""",45,0.00236815689197,0.83734939759,1.57553956835,0.125471743282,0.514791399399,0.0449077084665,0.019801026534,0.579500134399
"""musician""",164,0.00299397409014,0.812865497076,1.76978417266,0.0413805126538,0.026428792636,0.0360915555622,0.0187264928549,0.0812468410531
"""realestate""",103,0.00310799298419,0.858024691358,1.77697841727,0.043078808474,0.0227955398662,0.040471835457,0.0233219797492,0.0865893550724
"""comedy""",123,0.00244909122551,0.780898876404,1.71942446043,0.0379696380117,0.0185571922025,0.032591907984,0.0179615618616,0.0691106620481
"""cinema""",78,0.00136462277228,0.70202020202,1.41726618705,0.0223967427647,0.095398218349,0.0706438700646,0.0255062532352,0.191548341649
"""dance""",101,0.00225876307978,0.832335329341,1.6618705036,0.0332601980511,0.062450613473,0.0514425652499,0.0226060102058,0.136499188929
"""military""",95,0.00324950637582,0.885350318471,1.75539568345,0.100324221446,0.0959521332412,0.0669069568757,0.0213470202179,0.184206110335
"""lawyer""",172,0.00482774310203,0.965277777778,1.92805755396,0.157566685171,0.0449663377429,0.0570484243689,0.0217053818301,0.123720143942
"""python""",103,0.000747511820651,0.68137254902,1.07913669065,0.0153138769021,0.129433520501,0.122820723051,0.038385124749,0.290639368301
"""college""",110,0.0025120707659,0.902597402597,1.69784172662,0.0852610726532,0.0790881377064,0.0625004587774,0.0242870747393,0.165875671223
"""branding""",66,0.00278386551169,0.896774193548,1.74100719424,0.0611255451647,0.0647315517995,0.0600977656026,0.0213392493648,0.146168566767
"""tech""",517,0.00587967638261,1.0,2.0,0.196495955116,0.0168436347317,0.0300781329859,0.0168910709348,0.0638128386523
"""innovation""",56,0.00262570987242,0.863354037267,1.72661870504,0.0506694520925,0.0478646153861,0.0620882129792,0.0244178105466,0.134370638912
"""surfing""",108,0.0013937388711,0.780898876404,1.54676258993,0.0303639576619,0.0540429159112,0.0419065169515,0.0181614934499,0.114110926313
"""pharma""",30,0.000255340898007,0.665071770335,0.841726618705,0.0331303047001,0.414398054152,0.0792733388125,0.0352951494284,0.528966542393
"""homeschool""",117,0.00171385706272,0.83734939759,1.56834532374,0.0581923713829,0.0460679046732,0.0505190411623,0.0222888264534,0.118875772289
"""yoga""",106,0.00367095142848,0.920529801325,1.81294964029,0.101048862015,0.0443350752222,0.0523944634291,0.0220442218164,0.118773760468
"""reporter""",36,0.000347711884696,0.674757281553,0.985611510791,0.0206215824472,0.108321106108,0.0720280451481,0.0177272285771,0.198076379833
"""automotive""",124,0.00416351643313,0.93288590604,1.89208633094,0.0800790194034,0.0449504899357,0.0498852694631,0.0194202652527,0.114256024652
"""nursing""",84,0.000443828226269,0.731578947368,1.05035971223,0.0710198684489,0.434061269665,0.0661736984707,0.0302411791921,0.530476147328
"""marketing""",178,0.00453039222933,0.939189189189,1.93525179856,0.0944235158235,0.0245133104675,0.0385229757922,0.0235220668043,0.086558353064
"""wrestling""",104,0.000335271250265,0.612334801762,1.0,0.0091467006007,0.0759881538822,0.0525083026975,0.0156972216322,0.144193678212
"""tennis""",110,0.00183964508175,0.776536312849,1.56834532374,0.0182023628942,0.0409407988558,0.0441887439506,0.0179969443137,0.10312648712
"""humanrights""",47,0.000733621736421,0.794285714286,1.20863309353,0.0677335287372,0.137048578902,0.0907692752855,0.0252278130685,0.253045667256
"""literacy""",110,0.00151811296451,0.83734939759,1.5035971223,0.0708944877937,0.0727047145318,0.0586519443377,0.0236670483282,0.155023707198
"""horror""",113,0.00165715737477,0.789772727273,1.53237410072,0.0396017305539,0.0761634018127,0.0659205260314,0.0214553245836,0.163539252428
"""running""",99,0.00215462256268,0.808139534884,1.68345323741,0.0333731478595,0.0415755587596,0.0449824098116,0.0204262980773,0.106984266649
"""hiking""",149,0.00303674895919,0.914473684211,1.78417266187,0.106497886189,0.0583169112432,0.0429461162273,0.0174779779777,0.118741005448
"""chef""",4,4.95110428305e-05,0.643518518519,0.618705035971,0.00488589793243,0.0990960350112,0.0573427230876,0.0161554298179,0.172594187917
"""religion""",175,0.00350160486232,0.891025641026,1.8273381295,0.126346585306,0.0710865268248,0.0561617233026,0.0239024189451,0.151150669072
"""restaurant""",21,0.000205721143763,0.720207253886,0.89928057554,0.0147762133322,0.140467696142,0.0648393505225,0.020028210874,0.225335257538
"""jewish""",81,0.00187598242825,0.874213836478,1.55395683453,0.0780575360221,0.12493725762,0.0564572943741,0.0245891225206,0.205983674514
"""poetry""",91,0.00405699418942,0.908496732026,1.85611510791,0.0619354337623,0.0514930226338,0.0495181321505,0.0225964978828,0.123607652667
"""cancer""",105,0.00339398962359,0.908496732026,1.79856115108,0.110926228525,0.0884566507438,0.0612152184055,0.0233676127417,0.173039481891
